epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1748.77,1.00292,0.54707,0.91303,0.84638,0.8723,0.90933,0.60821,1.16535,0.62615,0.95846,0.000321875,0.000321875,0.000321875
77,1770.93,1.00143,0.5463,0.91488,0.87751,0.85098,0.91836,0.61201,1.15972,0.62772,0.95998,0.0003095,0.0003095,0.0003095
78,1794.14,1.00863,0.5534,0.91393,0.85521,0.87893,0.91933,0.6183,1.15764,0.61009,0.9533,0.000297125,0.000297125,0.000297125
79,1817,0.99736,0.55062,0.91413,0.87985,0.86783,0.91829,0.61552,1.16616,0.61953,0.95707,0.00028475,0.00028475,0.00028475
80,1840.13,0.99331,0.54063,0.91509,0.85826,0.87684,0.91332,0.60913,1.1658,0.62704,0.96058,0.000272375,0.000272375,0.000272375
81,1862.3,0.98591,0.53848,0.91167,0.87305,0.87961,0.91898,0.61243,1.16577,0.62118,0.96014,0.00026,0.00026,0.00026
82,1885.19,0.99124,0.53313,0.91322,0.86343,0.87334,0.91247,0.61448,1.1602,0.63158,0.95933,0.000247625,0.000247625,0.000247625
83,1908.15,0.98981,0.53609,0.90852,0.86743,0.8661,0.91317,0.61038,1.16827,0.63333,0.95996,0.00023525,0.00023525,0.00023525
84,1931.49,0.97928,0.53046,0.90786,0.85425,0.88447,0.91526,0.61389,1.16298,0.62603,0.95875,0.000222875,0.000222875,0.000222875
85,1954.03,0.98817,0.53238,0.90957,0.8569,0.88033,0.92027,0.61636,1.16704,0.62306,0.9603,0.0002105,0.0002105,0.0002105
86,1976.81,0.97923,0.52825,0.90905,0.88138,0.85722,0.91715,0.61509,1.16111,0.63074,0.95701,0.000198125,0.000198125,0.000198125
87,2000.21,0.97939,0.52567,0.90657,0.84504,0.90146,0.9179,0.61622,1.1587,0.62139,0.95764,0.00018575,0.00018575,0.00018575
88,2023.37,0.97726,0.5221,0.9077,0.85117,0.89181,0.91613,0.61629,1.16052,0.61457,0.95768,0.000173375,0.000173375,0.000173375
89,2045.39,0.97302,0.5211,0.90591,0.86432,0.88197,0.92009,0.61764,1.16288,0.62627,0.95791,0.000161,0.000161,0.000161
90,2068.67,0.97537,0.52697,0.90684,0.84801,0.89062,0.91822,0.61831,1.1615,0.61855,0.95755,0.000148625,0.000148625,0.000148625
91,2093.73,0.98104,0.50891,0.90151,0.86447,0.86119,0.91286,0.60991,1.17071,0.63969,0.96491,0.00013625,0.00013625,0.00013625
92,2115.55,0.96646,0.49671,0.89824,0.84861,0.87726,0.91499,0.61142,1.16887,0.63325,0.96099,0.000123875,0.000123875,0.000123875
93,2137.84,0.962,0.49174,0.89602,0.86214,0.88373,0.91886,0.613,1.16612,0.62169,0.96078,0.0001115,0.0001115,0.0001115
94,2159.48,0.95265,0.48818,0.89367,0.85251,0.88951,0.91695,0.61326,1.16727,0.62164,0.96097,9.9125e-05,9.9125e-05,9.9125e-05
95,2181.38,0.94907,0.48196,0.89286,0.86581,0.86681,0.91845,0.61453,1.17056,0.62245,0.96212,8.675e-05,8.675e-05,8.675e-05
96,2203.56,0.9474,0.48081,0.89406,0.86169,0.87357,0.91775,0.61459,1.16458,0.62454,0.9603,7.4375e-05,7.4375e-05,7.4375e-05
97,2224.65,0.93964,0.47975,0.88805,0.8638,0.87583,0.91922,0.61512,1.16816,0.62186,0.96181,6.2e-05,6.2e-05,6.2e-05
98,2246.58,0.94267,0.47613,0.8921,0.86393,0.87122,0.91997,0.61923,1.16563,0.61618,0.96216,4.9625e-05,4.9625e-05,4.9625e-05
99,2268.92,0.93808,0.4749,0.89073,0.86052,0.87522,0.91966,0.61619,1.16693,0.61891,0.96216,3.725e-05,3.725e-05,3.725e-05
100,2290.16,0.93139,0.47219,0.88747,0.86125,0.87471,0.91924,0.61499,1.17026,0.62258,0.96365,2.4875e-05,2.4875e-05,2.4875e-05
